语言学术语	yuyanxueshuyu
阿尔法	aerfa
阿尔法移位	aerfayiwei
阿尔哈米阿多文	aerhamiaduowen
阿尔泰假说	aertaijiashuo
阿拉伯字母	alabozimu
埃及象形文字	aijixiangxingwenzi
艾立夫	ailifu
艾特肯定律	aitekendinglv
爱称	aicheng
爱称词	aichengci
暗示法	anshifa
暗箱分析	anxiangfenxi
暗箱模型	anxiangmoxing
暗音	anyin
暗元音	anyuanyin
暗指	anzhi
盎格鲁美洲	anggelumeizhou
盎格鲁人	anggeluren
奥卡姆剃刀原则	aokamutidaoyuanze
澳大利亚词典学	aodaliyacidianxue
澳斯特里语系假说	aositeliyuxijiashuo
巴尔索罗梅定律	baersuoluomeidinglv
巴赫—彼得斯悖论	bahebidesibeilun
巴赫—彼得斯句子	bahebidesijuzi
巴赫概括	bahegaikuo
巴黎符号学学派	balifuhaoxuexuepai
靶域	bayu
爸爸语	babayu
白板说	baibanshuo
百分比符号	baifenbifuhao
百科信息	baikexinxi
百科意义	baikeyiyi
百科语义学	baikeyuyixue
百科知识	baikezhishi
柏拉图问题	bolatuwenti
半词素	bancisu
半韵	banyun
半元音	banyuanyin
伴随	bansui
邦科姆之辞	bangkemuzhici
包含	baohan
包容式代词	baorongshidaici
包容条件	baorongtiaojian
褒义后缀	baoyihouzhui
褒义化	baoyihua
保护式教学	baohushijiaoxue
保护式英语	baohushiyingyu
保留宾语	baoliubinyu
保姆式语言	baomushiyuyan
保全面子	baoquanmianzi
报道分	baodaofen
爆发	baofa
爆破音	baopoyin
北极人语言	beijirenyuyan
备择假设	beizejiashe
背景	beijing
背景	beijing
背景	beijing
背景化的	beijinghuade
背景现象	beijingxianxiang
背景信息	beijingxinxi
背景知识	beijingzhishi
背诵	beisong
背心结构	beixinjiegou
悖语义分析	beiyuyifenxi
被动词汇	beidongcihui
被动发音器官	beidongfayinqiguan
被动分词	beidongfenci
被动化规则	beidonghuaguize
被动技能	beidongjineng
被动技能测试	beidongjinengceshi
被动声腔	beidongshengqiang
被动语言知识	beidongyuyanzhishi
被认同者	beirentongzhe
被指引成分	beizhiyinchengfen
本地语	bendiyu
本国语	benguoyu
本拉斯线	benlasixian
本能论	bennenglun
本体	benti
本体范畴	bentifanchou
本体规划	bentiguihua
本体论	bentilun
本体隐喻	bentiyinyu
本土化	bentuhua
本土语言	bentuyuyan
本质主义	benzhizhuyi
本族词	benzuci
本族语	benzuyu
本族语词汇	benzuyucihui
本族语化	benzuyuhua
本族语言领悟力	benzuyuyanlingwuli
本族语者	benzuyuzhe
崩溃	bengkui
鼻化音	bihuayin
鼻腔	biqiang
鼻塞音	bisaiyin
鼻咽部	biyanbu
鼻音	biyin
鼻音爆破	biyinbaopo
鼻音除阻	biyinchuzu
鼻音对口腔音	biyinduikouqiangyin
鼻音化	biyinhua
鼻音色彩	biyinsecai
鼻音同化	biyintonghua
鼻语	biyu
鼻元音	biyuanyin
比较重建法	bijiaochongjianfa
比较从句	bijiaocongju
比较等级	bijiaodengji
比较对比法	bijiaoduibifa
比较法	bijiaofa
比较级	bijiaoji
比较句	bijiaoju
比较式关联	bijiaoshiguanlian
比较语言学	bijiaoyuyanxue
比例从句	bilicongju
比例模式教学大纲	bilimoshijiaoxuedagang
比邻原则	bilinyuanze
比率量表	bilvliangbiao
比喻词	biyuci
比喻误用	biyuwuyong
比喻习语	biyuxiyu
比喻性语言	biyuxingyuyan
比喻义	biyuyi
笔迹测量学	bijiceliangxue
笔迹学	bijixue
必需语气	bixuyuqi
闭过渡	biguodu
闭塞	bise
闭塞音	biseyin
闭音渡	biyindu
闭音节	biyinjie
闭元音	biyuanyin
闭元音	biyuanyin
避忌言语类型	bijiyanyuleixing
边界节点	bianjiejiedian
边界效应	bianjiexiaoying
边音	bianyin
边音爆破	bianyinbaopo
边音对非边音	bianyinduifeibianyin
边音化	bianyinhua
边缘成员	bianyuanchengyuan
边缘地区	bianyuandiqu
边缘区域	bianyuanquyu
边缘特征	bianyuantezheng
边缘语言	bianyuanyuyan
边缘元音	bianyuanyuanyin
编班测验	bianbanceyan
编程语言	bianchengyuyan
编辑系统	bianjixitong
编码	bianma
编码时间	bianmashijian
编年史现在时	biannianshixianzaishi
贬义成分	bianyichengfen
变格	biange
变界分析	bianjiefenxi
变量	bianliang
变量设定	bianliangsheding
变时研究	bianshiyanjiu
变体	bianti
变项	bianxiang
变项规则	bianxiangguize
变异	bianyi
变异语言学	bianyiyuyanxue
变音标记	bianyinbiaoji
变音符	bianyinfu
变音符号	bianyinfuhao
变音符号	bianyinfuhao
变语匹配法	bianyupipeifa
便利样本	bianliyangben
辨义成分	bianyichengfen
辨音法	bianyinfa
辨音训练	bianyinxunlian
辩论术	bianlunshu
标记	biaoji
标记差异假设	biaojichayijiashe
标记符	biaojifu
标记性	biaojixing
标句成分节点	biaojuchengfenjiedian
标句词	biaojuci
标句词层	biaojuciceng
标句词短语	biaojuciduanyu
标句词一致	biaojuciyizhi
标示符号	biaoshifuhao
标示性原则	biaoshixingyuanze
标示语法	biaoshiyufa
标题式语言	biaotishiyuyan
标题语言	biaotiyuyan
标音	biaoyin
标音法	biaoyinfa
标引	biaoyin
标引符	biaoyinfu
标志	biaozhi
标志语义学	biaozhiyuyixue
标志语中心语一致	biaozhiyuzhongxinyuyizhi
标注	biaozhu
标准变体	biaozhunbianti
标准参照测验	biaozhuncanzhaoceyan
标准测量误差	biaozhunceliangwucha
标准差	biaozhuncha
标准发音	biaozhunfayin
标准方言	biaozhunfangyan
标准分数	biaozhunfenshu
标准化	biaozhunhua
标准化测验	biaozhunhuaceyan
标准九分	biaozhunjiufen
标准理论	biaozhunlilun
标准美国英语	biaozhunmeiguoyingyu
标准误差	biaozhunwucha
标准相关效度	biaozhunxiangguanxiaodu
标准英国英语	biaozhunyingguoyingyu
标准英语	biaozhunyingyu
标准语	biaozhunyu
标准语言	biaozhunyuyan
标字	biaozi
表层的	biaocengde
表层结构	biaocengjiegou
表层结构移情等级	biaocengjiegouyiqingdengji
表层语言	biaocengyuyan
表达功能	biaodagongneng
表达型言语行为	biaodaxingyanyuxingwei
表面效度	biaomianxiaodu
表面字符	biaomianzifu
表情功能	biaoqinggongneng
表缺词缀	biaoquecizhui
表缺对立	biaoqueduili
表始动词	biaoshidongci
表述句	biaoshuju
表现目标	biaoxianmubiao
表现性意义	biaoxianxingyiyi
表信语	biaoxinyu
表形符	biaoxingfu
表形文字	biaoxingwenzi
表型	biaoxing
表意符号	biaoyifuhao
表意行为	biaoyixingwei
表意文字	biaoyiwenzi
表音文字	biaoyinwenzi
表语串联	biaoyuchuanlian
表征	biaozheng
表征层面	biaozhengcengmian
表征经济性	biaozhengjingjixing
表征论	biaozhenglun
别处条件	biechutiaojian
蹩脚英语	biejiaoyingyu
宾格	binge
宾格化	bingehua
宾语控制	binyukongzhi
宾语提升	binyutisheng
宾语一致	binyuyizhi
宾语转移	binyuzhuanyi
濒危语言	binweiyuyan
并存效度	bingcunxiaodu
并连关系	binglianguanxi
并联符号	binglianfuhao
并列复合词	bingliefuheci
并列结构孤岛	bingliejiegougudao
并列连接	binglielianjie
并列连接	binglielianjie
并列连接词	binglielianjieci
并列双语现象	binglieshuangyuxianxiang
并列下义词	bingliexiayici
并列向心结构	bingliexiangxinjiegou
并列语	binglieyu
波尔—罗瓦雅尔语法	boerluowayaeryufa
波浪模式	bolangmoshi
波浪说	bolangshuo
波形	boxing
泊定	poding
博思语言测试	bosiyuyanceshi
博弈论语义学	boyilunyuyixue
博弈论语用学	boyilunyuyongxue
补偿策略	buchangcelve
补偿性延音	buchangxingyanyin
补偿性延长	buchangxingyanchang
补充附加语	buchongfujiayu
补充关系	buchongguanxi
补语	buyu
补语成分	buyuchengfen
补语从句	buyucongju
不变形词	bubianxingci
不变重音	bubianzhongyin
不充分赋值	buchongfenfuzhi
不充分赋值理论	buchongfenfuzhililun
不带音	budaiyin
不等音节词	budengyinjieci
不定冠词	budingguanci
不规则复数	buguizefushu
不规则名词	buguizemingci
不规则性	buguizexing
不规则语言现象	buguizeyuyanxianxiang
不合语法性	buheyufaxing
不和谐	buhexie
不和谐音	buhexieyin
不及物的	bujiwude
不及物化规则	bujiwuhuaguize
不恰当话语	buqiadanghuayu
不可分离性	bukefenlixing
不可及说	bukejishuo
不可接受性	bukejieshouxing
不可解读	bukejiedu
不可数名词	bukeshumingci
不连续性	bulianxuxing
不明确解读	bumingquejiedu
不确定表达式	buquedingbiaodashi
不实话语	bushihuayu
不送气	busongqi
不透明	butouming
不透明元音	butoumingyuanyin
不完全变化词	buwanquanbianhuaci
不完全动词	buwanquandongci
不完全句	buwanquanju
不相容	buxiangrong
不幸被动句	buxingbeidongju
不专注行为	buzhuanzhuxingwei
布克维查字母	bukeweichazimu
布拉格学派	bulagexuepai
布莱叶盲文	bulaiyemangwen
布朗语料库	bulangyuliaoku
布鲁姆分类法	bulumufenleifa
布洛卡区	buluokaqu
布洛卡失语症	buluokashiyuzheng
布洛卡失语症患者	buluokashiyuzhenghuanzhe
部分否定	bufenfouding
部分格	bufenge
部分可及性	bufenkejixing
部分能产	bufennengchan
部分生格	bufenshengge
部分所有格	bufensuoyouge
部分同化	bufentonghua
部分整体关系	bufenzhengtiguanxi
部首	bushou
擦音	cayin
擦音化	cayinhua
猜测参数	caicecanshu
裁剪词	caijianci
裁切	caiqie
采访	caifang
采用常规形式的倾向	caiyongchangguixingshideqingxiang
参加者	canjiazhe
参考性问题	cankaoxingwenti
参量语言学	canliangyuyanxue
参量语音学	canliangyuyinxue
参数	canshu
参数检验	canshujianyan
参数设定	canshusheding
参项设定	canxiangsheding
参与角色	canyujuese
参与框架	canyukuangjia
参与者结构	canyuzhejiegou
参与者现场观察	canyuzhexianchangguancha
参照框架	canzhaokuangjia
参照物	canzhaowu
参照语义学	canzhaoyuyixue
残余地区	canyudiqu
残余地域	canyudiyu
残余听力	canyutingli
残余形式	canyuxingshi
操练	caolian
操双方言者	caoshuangfangyanzhe
操双语者	caoshuangyuzhe
操作词	caozuoci
操作方法	caozuofangfa
操作行为	caozuoxingwei
操作行为主义	caozuoxingweizhuyi
操作性定义	caozuoxingdingyi
操作性条件反射	caozuoxingtiaojianfanshe
操作意义	caozuoyiyi
槽擦音	caocayin
草拟	caoni
草写体	caoxieti
侧画	cehua
侧画决定词	cehuajuedingci
侧面	cemian
测试	ceshi
测试项	ceshixiang
测听计	cetingji
测听术	cetingshu
策略	celve
策略性能力	celvexingnengli
策略训练	celvexunlian
策略准则	celvezhunze
层次	cengci
层次分析	cengcifenxi
层次分析法	cengcifenxifa
层次结构	cengcijiegou
层次语法	cengciyufa
层递式	cengdishi
层级规则运用原则	cengjiguizeyunyongyuanze
层级性	cengjixing
层级隐涵意义	cengjiyinhanyiyi
层级原则	cengjiyuanze
层级转换	cengjizhuanhuan
层进	cengjin
曾用义	cengyongyi
叉线符#	chaxianfu
插入	charu
插入	charu
插入句	charuju
插入式误读	charushiwudu
插入性动词	charuxingdongci
插入序列	charuxulie
插声停顿	chashengtingdun
插音	chayin
插音	chayin
差位体现	chaweitixian
差异系数	chayixishu
蝉联	chanlian
阐释	chanshi
阐释学	chanshixue
阐述功能	chanshugongneng
阐述型言语行为	chanshuxingyanyuxingwei
颤音	chanyin
长被动句	zhangbeidongju
长距离反身代词	zhangjulifanshendaici
长期记忆	changqijiyi
常规公式	changguigongshi
常规特征	changguitezheng
常规语法	changguiyufa
常模	changmo
常模参照考试	changmocanzhaokaoshi
常识衍推话语	changshiyantuihuayu
常用话语语境	changyonghuayuyujing
场	chang
场独立	changduli
场依存	changyicun
绰号	chuohao
超级提升	chaojitisheng
超级语法码	chaojiyufama
超文本	chaowenben
超音段	chaoyinduan
超音段音位	chaoyinduanyinwei
超音位	chaoyinwei
超语法习语	chaoyufaxiyu
超语言特征	chaoyuyantezheng
沉浸式教学法	chenjinshijiaoxuefa
沉浸式强化课程	chenjinshiqianghuakecheng
沉默	chenmo
沉默法	chenmofa
沉默期	chenmoqi
陈述	chenshu
陈述句	chenshuju
陈述性知识	chenshuxingzhishi
陈述音系学	chenshuyinxixue
称号	chenghao
称呼体系	chenghutixi
称呼语	chenghuyu
称呼语的代词形式	chenghuyudedaicixingshi
